               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10611,            0.022108,             0.05299,          0.00047916,             0.33333,          0.00099739,          0.00018233,             0.10489,            0.015971,            0.052183,              0.0007,              0.0007,              0.0937
                   1,            0.097413,            0.022497,            0.052698,            0.000566,             0.33333,           0.0010752,          0.00026285,            0.094133,            0.016882,            0.052057,            0.001495,            0.001495,            0.086495
                   2,             0.08734,            0.025121,            0.052676,          0.00035264,                 0.3,          0.00076574,           0.0001032,            0.087074,            0.017378,            0.051965,           0.0022848,           0.0022848,            0.079285
                   3,            0.082011,            0.024996,              0.0525,          0.00039081,             0.33333,          0.00061707,          8.0414e-05,            0.080258,            0.017898,            0.051874,           0.0030693,           0.0030693,            0.072069
                   4,            0.078145,            0.026363,            0.052334,          0.00038022,             0.33333,           0.0005738,          9.8898e-05,             0.07529,            0.018428,            0.051761,           0.0038485,           0.0038485,            0.064849
                   5,            0.076451,            0.026187,            0.052095,          0.00037879,             0.33333,          0.00062487,          8.5141e-05,            0.072383,            0.018816,            0.051589,           0.0046225,           0.0046225,            0.057622
                   6,            0.073396,            0.026419,            0.051865,          0.00038022,             0.33333,          0.00091431,          0.00015508,            0.070758,            0.019052,            0.051427,           0.0053911,           0.0053911,            0.050391
                   7,            0.072543,            0.024866,            0.051864,          0.00034025,                 0.3,           0.0025254,          0.00044196,            0.068454,            0.019417,            0.051281,           0.0061545,           0.0061545,            0.043154
                   8,            0.068429,            0.027811,            0.051611,            0.001022,                 0.4,           0.0035748,          0.00079323,             0.06452,            0.019992,             0.05116,           0.0069126,           0.0069126,            0.035913
                   9,            0.065856,            0.027221,            0.051391,           0.0010515,                 0.5,           0.0044342,          0.00099097,            0.060188,            0.020593,            0.051248,           0.0076654,           0.0076654,            0.028665
                  10,            0.066119,            0.028127,            0.050992,             0.51325,             0.33333,             0.11107,            0.024831,              0.0547,            0.020844,            0.051074,           0.0084129,           0.0084129,            0.021413
                  11,            0.067063,             0.02704,            0.050589,             0.85175,             0.16667,            0.038218,            0.007907,             0.05379,             0.02014,            0.050881,           0.0091552,           0.0091552,            0.014155
                  12,             0.06223,            0.026867,            0.051048,            0.078334,                 0.3,             0.20587,            0.034269,            0.051086,            0.019585,            0.049871,            0.009604,            0.009604,            0.009604
                  13,            0.061528,            0.028173,            0.050293,             0.85676,             0.16667,            0.038472,           0.0073446,            0.051456,            0.018383,            0.049046,            0.009604,            0.009604,            0.009604
                  14,            0.062356,            0.028451,            0.050496,               0.711,             0.23053,            0.050113,            0.008023,            0.049466,            0.017981,            0.048002,            0.009571,            0.009571,            0.009571
                  15,            0.058801,            0.024663,            0.050071,             0.47351,             0.33333,             0.20102,            0.037626,            0.050205,            0.017269,            0.046767,            0.009538,            0.009538,            0.009538
                  16,             0.05742,            0.028899,             0.04936,            0.071885,                 0.7,              0.2313,            0.059115,            0.045508,            0.017944,            0.045633,            0.009505,            0.009505,            0.009505
                  17,            0.054354,            0.025672,            0.049451,              0.8676,             0.15748,             0.20504,            0.065461,            0.045573,             0.01802,            0.045241,            0.009472,            0.009472,            0.009472
                  18,            0.055042,            0.028374,            0.048607,              0.9709,             0.15873,             0.28086,            0.066173,            0.048284,            0.018228,            0.044788,            0.009439,            0.009439,            0.009439
                  19,            0.059805,            0.024298,            0.047983,             0.27078,             0.66667,              0.2799,            0.087713,            0.046612,            0.020738,            0.044286,            0.009406,            0.009406,            0.009406
                  20,            0.052147,            0.025907,             0.04855,             0.94816,             0.16667,             0.21547,            0.067038,            0.053939,            0.021078,            0.044394,            0.009373,            0.009373,            0.009373
                  21,            0.048491,            0.026408,            0.047642,             0.95044,             0.16667,             0.30553,             0.10583,            0.051794,             0.02598,            0.042434,             0.00934,             0.00934,             0.00934
                  22,            0.052534,             0.02402,            0.047018,             0.87958,              0.3329,             0.45809,             0.11313,            0.045482,            0.021021,            0.040105,            0.009307,            0.009307,            0.009307
                  23,            0.052632,            0.025349,            0.046772,             0.99948,             0.16667,             0.27282,            0.058387,            0.052608,            0.018514,            0.040646,            0.009274,            0.009274,            0.009274
                  24,            0.058697,            0.024123,             0.04599,             0.10491,             0.69296,             0.29946,            0.092435,            0.056204,            0.017904,            0.042014,            0.009241,            0.009241,            0.009241
                  25,            0.049111,            0.022768,            0.044771,            0.060118,             0.66667,             0.13419,            0.023937,            0.052395,            0.021478,            0.037891,            0.009208,            0.009208,            0.009208
                  26,            0.053129,            0.021733,            0.043871,             0.60005,             0.32828,             0.28511,             0.07156,            0.049931,             0.01644,            0.035268,            0.009175,            0.009175,            0.009175
                  27,            0.056072,            0.022246,            0.042959,             0.13691,             0.73333,             0.21856,            0.067534,            0.046283,            0.015667,            0.031964,            0.009142,            0.009142,            0.009142
                  28,            0.046817,            0.020989,            0.042915,               0.437,             0.76667,              0.6023,             0.23447,            0.047647,            0.016411,            0.033176,            0.009109,            0.009109,            0.009109
                  29,            0.045543,            0.022201,            0.040835,             0.48048,                 0.6,             0.57722,             0.21471,            0.041399,            0.016502,            0.029003,            0.009076,            0.009076,            0.009076
                  30,            0.052724,            0.022242,            0.040682,             0.55309,             0.59074,             0.62893,             0.28459,            0.036114,            0.014218,              0.0267,            0.009043,            0.009043,            0.009043
                  31,            0.046311,            0.023868,            0.039927,             0.56266,             0.69936,             0.67249,             0.28251,            0.036387,            0.016364,            0.025559,             0.00901,             0.00901,             0.00901
                  32,            0.045836,            0.019703,            0.037241,             0.50829,             0.66677,               0.674,             0.23487,            0.045542,            0.014831,            0.024816,            0.008977,            0.008977,            0.008977
                  33,            0.053967,            0.021049,            0.037027,              0.5736,              0.7258,             0.56138,             0.23679,            0.042143,            0.014851,            0.024781,            0.008944,            0.008944,            0.008944
                  34,            0.045547,            0.020864,             0.03592,              0.5899,             0.76124,              0.7225,             0.31963,            0.036794,            0.022628,            0.024443,            0.008911,            0.008911,            0.008911
                  35,            0.048012,            0.019057,            0.034963,             0.50491,             0.76537,             0.69218,             0.18943,            0.045755,            0.019976,            0.023559,            0.008878,            0.008878,            0.008878
                  36,            0.048426,            0.019341,            0.035111,             0.66643,             0.71685,             0.74302,             0.27749,            0.041878,             0.01895,            0.022826,            0.008845,            0.008845,            0.008845
                  37,            0.043293,            0.019254,            0.033898,             0.72256,             0.58682,             0.76824,             0.37263,            0.042387,            0.025232,            0.021322,            0.008812,            0.008812,            0.008812
                  38,            0.045927,            0.017878,            0.033306,             0.57653,                 0.8,             0.80056,             0.45609,            0.035507,            0.016452,            0.019323,            0.008779,            0.008779,            0.008779
                  39,            0.048303,            0.017883,            0.031534,             0.39773,              0.9249,             0.75028,             0.31808,            0.037171,            0.016643,             0.01819,            0.008746,            0.008746,            0.008746
                  40,            0.045752,            0.017435,            0.027868,             0.59813,             0.88037,             0.85712,             0.36667,            0.040106,            0.013469,            0.019666,            0.008713,            0.008713,            0.008713
                  41,            0.047502,            0.016695,            0.029873,             0.34427,             0.96667,             0.66936,             0.27841,            0.060859,            0.013567,            0.017321,             0.00868,             0.00868,             0.00868
                  42,            0.046449,            0.017485,            0.028815,               0.441,             0.93333,             0.86106,             0.46129,              0.0395,             0.01359,            0.016611,            0.008647,            0.008647,            0.008647
                  43,            0.042987,            0.017005,            0.027571,             0.90871,             0.55737,             0.86544,             0.37805,            0.040085,            0.018685,            0.017167,            0.008614,            0.008614,            0.008614
                  44,            0.045113,            0.015328,            0.024624,             0.41452,             0.86271,             0.78584,             0.23877,            0.045308,             0.01357,             0.01634,            0.008581,            0.008581,            0.008581
                  45,            0.043443,            0.017931,            0.026221,             0.89298,             0.66667,             0.88947,             0.47241,            0.031804,            0.010209,            0.014797,            0.008548,            0.008548,            0.008548
                  46,            0.045119,            0.015786,            0.025699,             0.93966,             0.62174,             0.81052,             0.34058,            0.040346,           0.0096742,            0.015051,            0.008515,            0.008515,            0.008515
                  47,            0.042384,            0.016147,            0.027106,             0.30369,             0.66667,             0.52857,             0.22469,            0.046646,            0.033191,            0.014782,            0.008482,            0.008482,            0.008482
                  48,            0.044724,            0.015413,            0.022448,             0.58511,             0.83953,             0.78954,             0.24634,            0.045764,            0.012679,            0.014455,            0.008449,            0.008449,            0.008449
                  49,             0.04702,            0.016302,            0.023308,              0.6002,             0.84457,             0.87126,             0.30505,              0.0404,            0.013638,             0.01449,            0.008416,            0.008416,            0.008416
                  50,            0.040866,             0.01522,            0.021699,             0.13349,                 0.6,             0.22317,            0.058043,            0.058628,            0.011864,             0.01505,            0.008383,            0.008383,            0.008383
                  51,            0.043273,            0.014968,            0.021367,             0.80203,             0.96745,             0.96214,             0.35946,            0.036678,            0.012191,            0.012852,             0.00835,             0.00835,             0.00835
                  52,            0.041095,            0.016075,            0.022112,             0.62463,             0.90952,             0.87319,             0.26663,            0.045567,            0.015474,            0.011821,            0.008317,            0.008317,            0.008317
                  53,            0.043427,             0.01425,            0.020242,              0.3367,             0.76583,             0.48937,             0.14136,            0.052237,            0.027925,            0.013083,            0.008284,            0.008284,            0.008284
                  54,            0.042405,            0.015346,            0.020838,             0.79042,             0.93372,             0.98389,              0.4139,            0.036605,            0.010752,             0.01119,            0.008251,            0.008251,            0.008251
                  55,            0.041802,            0.014763,            0.020705,             0.74796,              0.9914,             0.95597,               0.374,            0.036157,            0.010258,             0.01069,            0.008218,            0.008218,            0.008218
                  56,            0.039444,            0.014184,            0.018994,             0.85569,                   1,               0.995,             0.52288,            0.032283,            0.010625,            0.010353,            0.008185,            0.008185,            0.008185
                  57,            0.037599,            0.014362,            0.020762,             0.81177,             0.96765,             0.98019,              0.4628,            0.030495,           0.0089183,            0.011282,            0.008152,            0.008152,            0.008152
                  58,            0.041192,            0.014328,            0.015921,             0.85142,             0.97553,             0.98019,             0.47699,             0.03509,           0.0086877,           0.0096262,            0.008119,            0.008119,            0.008119
                  59,            0.041106,            0.014782,            0.016232,             0.80003,             0.99996,               0.995,              0.4742,            0.030266,           0.0082041,           0.0085501,            0.008086,            0.008086,            0.008086
                  60,             0.04212,             0.01342,            0.016499,             0.78012,             0.97724,               0.995,             0.46111,            0.035214,           0.0083548,           0.0086182,            0.008053,            0.008053,            0.008053
                  61,            0.038933,            0.014253,            0.016562,             0.88831,                   1,               0.995,             0.50093,            0.031661,           0.0096411,           0.0081851,             0.00802,             0.00802,             0.00802
                  62,            0.040654,            0.014418,            0.016563,             0.95324,                   1,               0.995,             0.47717,            0.030959,           0.0082946,           0.0076018,            0.007987,            0.007987,            0.007987
                  63,            0.039907,            0.013919,              0.0162,             0.83745,             0.99973,               0.995,             0.52457,             0.02972,           0.0085743,            0.007145,            0.007954,            0.007954,            0.007954
                  64,            0.038378,            0.013209,            0.014325,             0.94765,                   1,               0.995,             0.63632,            0.028896,           0.0082067,           0.0071583,            0.007921,            0.007921,            0.007921
                  65,            0.038279,             0.01289,            0.013274,             0.89588,             0.98594,               0.995,             0.61016,            0.028485,           0.0077346,           0.0074064,            0.007888,            0.007888,            0.007888
                  66,            0.039766,            0.012612,             0.01527,             0.95387,                   1,               0.995,             0.65237,            0.027727,           0.0079334,           0.0068925,            0.007855,            0.007855,            0.007855
                  67,            0.038342,            0.012384,            0.013157,             0.86791,                   1,                0.97,             0.53735,            0.034536,           0.0078969,            0.006459,            0.007822,            0.007822,            0.007822
                  68,            0.040691,            0.013417,            0.013907,             0.90052,                   1,               0.995,             0.52169,            0.031609,           0.0080523,           0.0059117,            0.007789,            0.007789,            0.007789
                  69,             0.03559,            0.013758,            0.013411,             0.98022,             0.97486,               0.995,             0.64408,            0.027556,           0.0076204,           0.0056235,            0.007756,            0.007756,            0.007756
                  70,            0.037378,            0.012963,            0.011305,             0.98823,             0.97853,               0.995,              0.5607,            0.032698,           0.0075002,           0.0054141,            0.007723,            0.007723,            0.007723
                  71,            0.036175,            0.013036,            0.010881,             0.91324,             0.96128,              0.9569,             0.42558,             0.02909,           0.0074133,           0.0053252,             0.00769,             0.00769,             0.00769
                  72,            0.039104,            0.013076,            0.011125,             0.90403,             0.93335,             0.98548,             0.63407,            0.028148,           0.0074956,           0.0053726,            0.007657,            0.007657,            0.007657
                  73,             0.03774,            0.013506,            0.010173,             0.80319,                   1,               0.995,             0.38791,            0.036211,           0.0076069,           0.0057556,            0.007624,            0.007624,            0.007624
                  74,            0.039225,            0.012875,            0.010358,             0.95224,             0.99976,               0.995,             0.59764,            0.028475,           0.0075728,           0.0051444,            0.007591,            0.007591,            0.007591
                  75,            0.036786,            0.010953,            0.011696,             0.88622,                   1,               0.995,             0.55679,            0.031912,           0.0070039,           0.0043944,            0.007558,            0.007558,            0.007558
                  76,            0.037134,            0.012045,            0.009537,              0.9605,             0.99967,               0.995,              0.6442,            0.028505,           0.0066738,           0.0045359,            0.007525,            0.007525,            0.007525
                  77,            0.038762,            0.011902,            0.010662,             0.92936,             0.99976,               0.995,             0.52716,            0.032126,           0.0067193,           0.0041703,            0.007492,            0.007492,            0.007492
                  78,             0.03733,            0.012107,            0.011023,             0.95747,             0.99995,               0.995,             0.69242,            0.023997,           0.0071567,           0.0038371,            0.007459,            0.007459,            0.007459
                  79,            0.035036,             0.01195,            0.010453,             0.97563,                   1,               0.995,             0.65482,            0.028863,            0.007446,           0.0033363,            0.007426,            0.007426,            0.007426
                  80,            0.035279,            0.012069,            0.012376,             0.98141,             0.99981,               0.995,              0.6561,            0.029417,           0.0080759,           0.0034099,            0.007393,            0.007393,            0.007393
                  81,            0.033516,            0.011584,           0.0094401,             0.97868,                   1,               0.995,             0.58454,            0.032677,           0.0086378,            0.003252,             0.00736,             0.00736,             0.00736
                  82,            0.037313,             0.01165,           0.0089543,             0.98247,                   1,               0.995,             0.50635,            0.031684,           0.0081489,           0.0027953,            0.007327,            0.007327,            0.007327
                  83,            0.036863,            0.011709,           0.0083737,              0.9072,             0.93333,             0.91762,             0.43156,             0.03821,            0.008699,           0.0028716,            0.007294,            0.007294,            0.007294
                  84,            0.037166,             0.01291,           0.0085966,             0.96089,                   1,               0.995,             0.55154,            0.029711,           0.0078436,           0.0029553,            0.007261,            0.007261,            0.007261
                  85,            0.034722,            0.011907,            0.009188,             0.88055,                   1,             0.97595,             0.58242,            0.025936,           0.0068627,           0.0031619,            0.007228,            0.007228,            0.007228
                  86,            0.033964,            0.012377,           0.0092878,             0.97547,                   1,               0.995,             0.55724,            0.030703,           0.0068516,           0.0028254,            0.007195,            0.007195,            0.007195
                  87,            0.038612,            0.011799,           0.0074394,             0.96426,                   1,               0.995,             0.61556,             0.03209,           0.0067187,           0.0025254,            0.007162,            0.007162,            0.007162
                  88,            0.035769,            0.011976,            0.008761,             0.98076,                   1,               0.995,             0.63828,            0.025737,           0.0066154,           0.0027173,            0.007129,            0.007129,            0.007129
                  89,            0.032219,            0.010887,           0.0089784,             0.97833,                   1,               0.995,              0.5743,            0.030562,           0.0065716,            0.002602,            0.007096,            0.007096,            0.007096
                  90,            0.034667,            0.011043,           0.0066895,             0.95633,                   1,               0.995,             0.56191,             0.03008,           0.0077998,           0.0023485,            0.007063,            0.007063,            0.007063
                  91,            0.032865,            0.012172,           0.0082651,             0.96664,                   1,               0.995,             0.53766,            0.026864,           0.0084956,           0.0022175,             0.00703,             0.00703,             0.00703
                  92,              0.0345,            0.010784,           0.0067709,              0.9793,                   1,               0.995,             0.56358,            0.028965,           0.0067795,           0.0023515,            0.006997,            0.006997,            0.006997
                  93,            0.036288,            0.011927,           0.0082097,             0.98582,                   1,               0.995,             0.62814,             0.02668,           0.0065821,           0.0026255,            0.006964,            0.006964,            0.006964
                  94,            0.033411,            0.011731,           0.0079998,              0.9809,                   1,               0.995,              0.7053,            0.022262,           0.0067187,           0.0027416,            0.006931,            0.006931,            0.006931
                  95,            0.030524,            0.011004,           0.0080348,             0.98654,                   1,               0.995,             0.73288,            0.022694,           0.0066718,           0.0021766,            0.006898,            0.006898,            0.006898
                  96,            0.031215,            0.010976,           0.0070009,             0.98765,                   1,               0.995,             0.71638,            0.022203,            0.006574,           0.0019916,            0.006865,            0.006865,            0.006865
                  97,            0.033688,             0.01118,           0.0069837,             0.98425,             0.99979,               0.995,             0.72652,            0.022855,           0.0067363,           0.0021889,            0.006832,            0.006832,            0.006832
                  98,            0.030444,            0.010833,           0.0062872,             0.99171,                   1,               0.995,             0.68505,            0.024189,            0.006292,           0.0024468,            0.006799,            0.006799,            0.006799
                  99,             0.03155,            0.011355,           0.0057652,              0.9388,                   1,             0.98944,              0.6764,            0.022277,           0.0062647,           0.0024122,            0.006766,            0.006766,            0.006766
                 100,            0.029082,            0.012697,           0.0060189,             0.98659,                   1,               0.995,             0.67828,            0.022115,           0.0062924,           0.0024031,            0.006733,            0.006733,            0.006733
                 101,            0.034572,             0.01269,           0.0067694,             0.97508,             0.96654,               0.995,             0.64121,            0.026693,           0.0063684,           0.0036756,              0.0067,              0.0067,              0.0067
                 102,            0.032236,            0.012373,           0.0062401,              0.9665,             0.98695,               0.995,             0.73807,            0.024696,           0.0062569,           0.0037506,            0.006667,            0.006667,            0.006667
                 103,              0.0357,            0.012654,           0.0063264,             0.98562,             0.99991,               0.995,             0.71063,            0.026196,           0.0062105,           0.0026717,            0.006634,            0.006634,            0.006634
                 104,            0.031389,            0.011016,           0.0061075,              0.9921,                   1,               0.995,             0.72867,             0.02265,            0.006176,           0.0023813,            0.006601,            0.006601,            0.006601
                 105,            0.031136,            0.010402,           0.0056851,             0.99368,                   1,               0.995,             0.77066,            0.020756,           0.0056757,           0.0023936,            0.006568,            0.006568,            0.006568
                 106,            0.031956,            0.011524,           0.0063637,             0.98576,                   1,               0.995,             0.66236,            0.023942,           0.0056774,           0.0023985,            0.006535,            0.006535,            0.006535
                 107,            0.030369,            0.010719,           0.0053395,              0.9858,                   1,               0.995,             0.67082,            0.027423,            0.005869,           0.0023082,            0.006502,            0.006502,            0.006502
                 108,            0.029825,            0.010692,           0.0066308,             0.98758,                   1,               0.995,             0.72857,            0.022465,           0.0058262,           0.0023406,            0.006469,            0.006469,            0.006469
                 109,            0.026834,            0.010332,           0.0065223,             0.99275,                   1,               0.995,             0.73438,            0.022095,           0.0059036,           0.0019458,            0.006436,            0.006436,            0.006436
                 110,            0.028165,            0.010906,           0.0061455,             0.99269,                   1,               0.995,             0.69021,            0.022007,           0.0058433,            0.001729,            0.006403,            0.006403,            0.006403
                 111,             0.03637,            0.010389,            0.007537,             0.97905,             0.99992,               0.995,             0.68369,            0.028029,           0.0062476,            0.002352,             0.00637,             0.00637,             0.00637
                 112,            0.029824,            0.011226,           0.0070546,             0.99188,                   1,               0.995,             0.74857,            0.019998,           0.0060017,           0.0021088,            0.006337,            0.006337,            0.006337
                 113,            0.028396,            0.010514,            0.006786,             0.99659,                   1,               0.995,             0.70546,            0.023689,           0.0059549,           0.0018958,            0.006304,            0.006304,            0.006304
                 114,            0.028797,            0.010534,           0.0065241,             0.99332,                   1,               0.995,              0.7135,            0.022708,           0.0060772,            0.002018,            0.006271,            0.006271,            0.006271
                 115,             0.03045,            0.010612,           0.0076705,              0.9959,                   1,               0.995,             0.66138,            0.022928,           0.0062324,           0.0018498,            0.006238,            0.006238,            0.006238
                 116,            0.029488,            0.010434,           0.0066896,             0.99443,                   1,               0.995,             0.69984,            0.021704,           0.0066054,           0.0016995,            0.006205,            0.006205,            0.006205
                 117,            0.030496,            0.011107,           0.0053156,             0.99427,             0.99983,               0.995,             0.70804,            0.019736,           0.0060574,           0.0015019,            0.006172,            0.006172,            0.006172
                 118,            0.029065,             0.01067,           0.0061499,             0.99665,              0.9999,               0.995,             0.76908,            0.018901,           0.0062911,           0.0015333,            0.006139,            0.006139,            0.006139
                 119,            0.027072,            0.010522,           0.0058682,             0.99429,                   1,               0.995,             0.71605,             0.02166,           0.0058909,           0.0015732,            0.006106,            0.006106,            0.006106
                 120,             0.02832,            0.010735,            0.006166,             0.99402,                   1,               0.995,             0.73085,            0.020452,           0.0060204,           0.0016528,            0.006073,            0.006073,            0.006073
                 121,            0.029516,            0.010254,           0.0069718,             0.99494,                   1,               0.995,              0.7672,             0.02139,           0.0056498,           0.0015917,             0.00604,             0.00604,             0.00604
                 122,            0.028416,            0.010232,           0.0059021,             0.99391,             0.99988,               0.995,             0.71525,            0.022086,           0.0056335,           0.0014745,            0.006007,            0.006007,            0.006007
                 123,            0.028998,            0.011077,           0.0053047,             0.99542,             0.99989,               0.995,             0.70851,            0.020112,           0.0055021,           0.0015242,            0.005974,            0.005974,            0.005974
                 124,            0.028367,           0.0098285,           0.0054332,             0.92115,                   1,               0.995,             0.65778,            0.022953,           0.0054834,           0.0014894,            0.005941,            0.005941,            0.005941
                 125,            0.029631,            0.010616,           0.0061947,             0.99217,                   1,               0.995,             0.73982,            0.019983,           0.0054915,           0.0016017,            0.005908,            0.005908,            0.005908
                 126,            0.028201,             0.01038,           0.0062634,             0.99302,                   1,               0.995,             0.76883,            0.018699,           0.0053502,           0.0015991,            0.005875,            0.005875,            0.005875
                 127,            0.027983,            0.010209,           0.0044055,              0.9961,             0.98647,               0.995,              0.7327,            0.021073,           0.0052805,           0.0016021,            0.005842,            0.005842,            0.005842
                 128,            0.031773,            0.010313,           0.0061222,             0.98424,             0.99986,               0.995,             0.73292,            0.019102,           0.0054287,           0.0015963,            0.005809,            0.005809,            0.005809
                 129,            0.026205,            0.010766,           0.0046035,             0.98962,                   1,               0.995,             0.75212,            0.019189,           0.0055102,           0.0015292,            0.005776,            0.005776,            0.005776
                 130,            0.027207,            0.011293,           0.0042665,             0.99393,             0.99988,               0.995,             0.69777,            0.023421,           0.0056332,           0.0014813,            0.005743,            0.005743,            0.005743
                 131,            0.028552,             0.01101,           0.0054064,              0.9898,             0.99994,               0.995,             0.55298,            0.028951,           0.0056889,           0.0013522,             0.00571,             0.00571,             0.00571
                 132,            0.028554,              0.0104,           0.0057327,             0.98944,                   1,               0.995,               0.774,            0.019191,           0.0054395,           0.0013123,            0.005677,            0.005677,            0.005677
                 133,            0.027153,            0.009758,           0.0058236,             0.98826,             0.99997,               0.995,             0.75432,             0.02055,           0.0056443,           0.0013738,            0.005644,            0.005644,            0.005644
                 134,            0.027851,            0.010127,           0.0070342,             0.99002,             0.99993,               0.995,             0.68737,            0.023437,           0.0058995,           0.0013934,            0.005611,            0.005611,            0.005611
                 135,            0.028094,            0.010197,           0.0042095,             0.99332,                   1,               0.995,             0.68309,            0.025046,           0.0053705,           0.0013499,            0.005578,            0.005578,            0.005578
                 136,            0.026979,           0.0098626,           0.0043703,             0.99564,                   1,               0.995,             0.73395,            0.023046,           0.0051312,           0.0013631,            0.005545,            0.005545,            0.005545
                 137,            0.028285,            0.010146,           0.0046493,             0.99472,                   1,               0.995,             0.67754,            0.026266,           0.0054996,           0.0012988,            0.005512,            0.005512,            0.005512
                 138,            0.030649,           0.0099747,           0.0043608,             0.99038,             0.99993,               0.995,             0.71898,            0.022758,           0.0066108,           0.0013337,            0.005479,            0.005479,            0.005479
                 139,            0.026397,            0.010916,           0.0050451,             0.99189,                   1,               0.995,             0.76271,            0.019238,            0.005299,           0.0013835,            0.005446,            0.005446,            0.005446
                 140,            0.026741,           0.0098914,           0.0049043,             0.99181,                   1,               0.995,             0.79587,            0.018268,           0.0052538,           0.0014417,            0.005413,            0.005413,            0.005413
                 141,            0.026986,           0.0099027,           0.0046102,             0.98991,                   1,               0.995,             0.74169,            0.021888,           0.0053852,           0.0014255,             0.00538,             0.00538,             0.00538
                 142,            0.029836,            0.010297,           0.0050089,             0.98855,                   1,               0.995,             0.75589,            0.019509,           0.0050907,           0.0014551,            0.005347,            0.005347,            0.005347
                 143,            0.026437,            0.010154,            0.005358,             0.99219,                   1,               0.995,             0.77239,            0.017807,           0.0051227,           0.0015029,            0.005314,            0.005314,            0.005314
                 144,            0.026946,             0.01013,           0.0061528,             0.99274,             0.99988,               0.995,             0.78741,             0.01917,            0.005488,           0.0014872,            0.005281,            0.005281,            0.005281
                 145,            0.027351,           0.0095264,           0.0032763,             0.98971,                   1,               0.995,             0.74388,            0.021519,           0.0053178,           0.0015569,            0.005248,            0.005248,            0.005248
                 146,            0.027221,            0.010563,           0.0060312,             0.99753,                   1,               0.995,             0.80899,            0.017938,           0.0052767,            0.001482,            0.005215,            0.005215,            0.005215
                 147,            0.023803,            0.010361,           0.0042911,             0.99587,                   1,               0.995,                0.79,            0.017619,           0.0053421,           0.0012986,            0.005182,            0.005182,            0.005182
                 148,            0.025441,            0.009796,           0.0040452,             0.99115,                   1,               0.995,             0.75618,            0.021615,           0.0054668,             0.00119,            0.005149,            0.005149,            0.005149
